person	count
SteingrimurSigfusson	12144
HjorleifurGuttormsson	8447
JohannaSigurdardottir	8297
EinarOlgeirsson	7819
LudvikJosepsson	6924
OgmundurJonasson	6872
SvavarGestsson	6781
EysteinnJonsson	6338
OssurSkarphedinsson	5919
SighvaturBjorgvinsson	5107
EinarGudfinnsson1955	5083
BjarniBenediktsson1970	5017
GisliJonsson	4952
GylfiGislason	4835
FridrikSophusson	4582
JonBjarnason1943	4392
KatrinJakobsdottir	4112
OlafurGrimsson	4064
PeturBlondal1944	3934
KolbrunHalldorsdottir	3887
JohannArsaelsson	3880
MagnusJonsson1919	3876
HalldorBlondal	3763
SteingrimurHermannsson	3726
KristjanMoller	3676
OlafurJohannesson	3534
PeturOttesen	3522
MatthiasBjarnason	3521
IngolfurJonsson	3519
KristinnGunnarsson1952	3496
RagnarArnalds	3400
HalldorAsgrimsson1947	3384
JonasHriflu	3359
GunnarSveinsson	3266
HannibalValdimarsson	3246
THorgerdurGunnarsdottir	3206
JohannJosefsson	3183
JonHannibalsson	3163
GudjonKristjansson	3140
BirgirArmannsson	3132
RannveigGudmundsdottir	3096
HermannJonasson1896	3077
HalldorSigurdsson	3074
EmilJonsson	3069
GeirHaarde	3043
BjarniBenediktsson	3024
GudlaugurTHordarson	2933
HaraldurGudmundsson	2915
THorsteinnPalsson1947	2906
KristinAstgeirsdottir	2716
JohannHafstein	2705
JonKristjansson1942	2566
BjarkeyGunnarsdottir	2558
GudmundurBjarnason	2518
GunnarThoroddsen	2508
MargretFrimannsdottir	2490
PalmiJonsson	2482
MatthiasMathiesen	2459
MagnusJonsson1887	2447
GudbjarturHannesson	2438
KristjanJuliusson	2385
SigmundurGunnlaugsson	2360
ValgerdurSverrisdottir	2321
KarvelPalmason	2251
OlafurThors	2228
SigurdurJohannsson	2197
OddnyHardardottir	2175
LiljaMagnusdottir	2169
PallPetursson	2160
HelgiHjorvar	2122
EygloHardardottir	2099
SkuliGudmundsson	2096
BjornBjarnason	2071
OlafurTHordarson	2069
GisliGudmundsson	2046
JonGunnarsson	2035
SturlaBodvarsson	2023
IllugiGunnarsson	1991
AstaJohannesdottir	1951
AsmundurDadason	1946
SvandisSvavarsdottir	1938
KatrinJuliusdottir	1932
MordurArnason	1909
AsbjornOttarsson	1878
PallZophoniasson	1878
THorvaldurKristjansson	1875
ArniArnason	1859
MagnusKjartansson	1844
PeturSigurdsson	1841
AlbertGudmundsson	1829
SivFridleifsdottir	1827
THorarinnTHorarinsson	1819
JonPalmason1888	1812
JonTHorlaksson	1805
THuridurBackman	1802
VigdisHauksdottir	1774
BjornGunnarsson	1767
PallTHorsteinsson	1733
EidurGudnason	1727
AlexanderStefansson	1724
SvanfridurJonasdottir	1713
GudniAgustsson	1706
OlafurEinarsson	1682
JonBaldvinsson	1662
GudrunHelgadottir	1633
DavidOddsson	1632
BirkirJonsson	1628
FinnurJonsson	1625
StefanValgeirsson	1621
BernhardStefansson	1620
BjornJonsson1916	1598
HelgiSeljan	1587
UnnurKonradsdottir	1579
ArniSigurdsson	1579
LudvikBergvinsson	1570
MagnusGudmundsson	1567
THorsteinnSaemundsson	1542
SigurdurKristjansson	1520
HelgiGunnarsson	1505
KjartanJohannsson1939	1486
EinarAgustsson	1465
EinarSigurdarson	1464
SverrirHermannsson	1458
FinnurIngolfsson	1440
RagnhildurHelgadottir	1432
JonHelgason	1424
JonSigurdsson1941	1421
RagnheidurArnadottir	1414
KristinHalldorsdottir	1409
BirgirTHorarinsson	1409
AlfheidurIngadottir	1399
IngibjorgGisladottir	1397
GisliEinarsson	1387
KristjanPalsson	1383
SkuliAlexandersson	1382
BenediktGrondal	1369
WillumTHorsson	1360
JakobMoller	1354
HoskuldurTHorhallsson	1342
BjarniAsgeirsson	1332
ArniMathiesen	1329
JorundurBrynjolfsson	1329
BjorgvinSigurdsson	1318
OlafurBjornsson	1304
StefanStefansson	1291
KristinEinarsdottir	1284
SolveigPetursdottir	1268
GeirGunnarsson	1230
GudrunAgnarsdottir	1195
SigurdurKristjansson1885	1195
BjornGislason1959	1188
VilhjalmurHjalmarsson	1187
BirgittaJonsdottir	1171
TomasOlrich	1169
GudmundurStefansson	1157
GisliSveinsson	1157
BergthorOlason	1157
AstaMoller	1117
THorSaari	1111
AnnaBjornsson	1108
EggertTHorsteinsson	1104
KarlKristjansson	1104
EyjolfurJonsson	1101
BjarniVogi	1099
BryndisHlodversdottir	1098
ValgerdurBjarnadottir	1097
GeirHallgrimsson	1086
AgustEinarsson	1079
GudmundurHallvardsson	1078
SigurjonOlafsson	1078
GilsGudmundsson	1077
TomasArnason	1077
OlafurEsleifsson	1071
JonOlafsson1977	1059
SteingrimurSteinthorsson	1049
EllertSchram	1047
THorsteinnViglundsson	1042
SigurdurBjarnason	1040
RobertMarshall	1039
JonaKristjansdottir	1023
AsgeirAsgeirsson	1016
GudmundurGardarsson	1015
ArniJohnsen	1003
SteinunnArnadottir	1000
EgillJonsson	996
TryggviHerbertsson	988
MagnusHafsteinsson	969
HjalmarArnason	962
JuliusSolnes	961
LarusJonsson	947
JonArnason	946
SigridurIngadottir	945
RagnheidurRikhardsdottir	939
IngvarGislason	935
SigurdurEggerz	933
BjornOlafsson	923
BrynjolfurBjarnason	921
StefanJonsson1923	920
PeturMagnusson	899
BirgirGunnarsson	888
AkiJakobsson	887
KarlGudjonsson	885
SveinbjornHognason	881
GudlaugurGislason	876
IngibjorgPalmadottir	869
JohannesSigurgeirsson	867
JonGunnarsson1959	867
TryggviTHorhallsson	864
KarlGudnason	857
AsgeirBjarnason	851
SmariMcCarthy	850
ArniGunnarsson	848
SigurjonTHordarson	846
OlofNordal	840
JonSkaftason	836
IngvarPalmason	826
HelgaHelgadottir	821
MagnusOlafsson	821
HedinnValdimarsson	819
StefanGudmundsson	817
FridjonTHordarson	815
OlafurGunnarsson	814
AndresJonsson	813
OlinaTHorvardardottir	810
VilmundurGylfason	792
SveinnOlafsson	788
SigurvinEinarsson	780
JonMagnusson1946	780
SigridurAndersen	778
HannesJonsson	767
ArniJohannsson	756
SigridurJohannesdottir	755
BjornPalsson	749
JonJonsson	747
GudmundurKristinsson	746
BryndisHaraldsdottir	738
VilhjalmurEgilsson	723
THorunnSveinbjarnardottir	718
AgustAgustsson	704
KarlHjaltason	699
ArnbjorgSveinsdottir	679
JoninaBjartmarz	674
GardarSigurdsson	665
SteinthorGestsson	665
StefanBenediktsson	656
HannaFridriksson	648
AtliGislason	646
SalomeTHorkelsdottir	646
HelgiBergs	639
OliKarason	639
FinnbogiValdimarsson	638
GudmundurSteingrimsson	636
LogiEinarsson	634
RosaBrynjolfsdottir	634
EinarKristjansson	634
KolbeinnProppe	630
JonHedinsson	625
LineikSaevarsdottir	625
IngiAlbertsson	620
SigridurTHordardottir	612
GudrunLarusdottir	608
JonMagnusson	606
SkuliHelgason	602
EirikurEinarsson	601
MagnusTorfason	597
AsmundurSigurdsson	596
JonValdimarsson	592
SteingrimurAdalsteinsson	591
MagnusStefansson	590
GardarTHorsteinsson	587
THorhildurAEvarsdottir	584
THorsteinnBriem	583
GudmundurEinarsson1948	582
ElsaArnardottir	581
AslaugSigurbjornsdottir	571
SigurdurJonsson1958	570
IngaSaeland	568
EinarArnorsson	565
JonSigurdsson1888	565
GudnyGudbjornsdottir	556
GudjonGudmundsson	553
JonTHorsteinsson	553
SigurlaugBjarnadottir	552
EinarArnason	543
GudjonBrjansson	537
HallaKristjansdottir	535
GudmundurGudmundsson	534
BirgirFinnsson	531
GudmundurAgustsson	528
HreggvidurJonsson	526
DanfridurSkarphedinsdottir	520
EdvardSigurdsson	514
HaraldurBenediktsson	512
NjallFridbertsson	510
SiljaGunnarsdottir	508
THordisGylfadottir	505
LiljaMosesdottir	502
DrifaHjartardottir	500
AriGudmundsson	498
OlafurHaraldsson	488
HannaKristjansdottir	467
THorsteinnTHorsteinsson	463
OliGudbjartsson	458
AsmundurFridriksson	458
HalldorStefansson	455
PeturJonsson	454
SigridurKristmundsdottir	453
BrynhildurPetursdottir	453
VilhjalmurArnason	452
PallBjornsson	450
GunnarJohannsson	449
OttarrProppe	447
SigfusSigurhjartarson	446
OddurOlafsson	440
BergurJonsson	440
BenediktSveinsson1877	437
HakonKristofersson	430
GudmundurGudbrandsson	429
ThorThors	423
KarlMatthiasson	423
ArniArnason1941	419
BjornKristjansson	418
THorhildurTHorleifsdottir	418
AudurAuduns	405
HannesHafstein	396
ArniMagnusson	394
DavidAdalsteinsson	393
MagnusMagnusson1922	393
